,Decibels,Location,Latitude,Longitude,Volume Category
60,77.091667,"[u'-73.971787,', u'40.687656,']",40.68765,-73.971787,Quiet: < 85 decibles
61,75.530762,"[u'-73.971754,', u'40.687746,']",40.68774,-73.971754,Quiet: < 85 decibles
62,75.530762,"[u'-73.971754,', u'40.687746,']",40.68774,-73.971754,Quiet: < 85 decibles
63,75.312538,"[u'-73.971711,', u'40.687773,']",40.68777,-73.971711,Quiet: < 85 decibles
64,75.312538,"[u'-73.971711,', u'40.687773,']",40.68777,-73.971711,Quiet: < 85 decibles
65,78.429626,"[u'-73.971698,', u'40.687921,']",40.68792,-73.971698,Quiet: < 85 decibles
66,78.429626,"[u'-73.971698,', u'40.687921,']",40.68792,-73.971698,Quiet: < 85 decibles
67,82.910316,"[u'-73.968862,', u'40.677832,']",40.67783,-73.968862,Quiet: < 85 decibles
68,84.18309,"[u'-73.968657,', u'40.678159,']",40.67815,-73.968657,Quiet: < 85 decibles
69,86.322121,"[u'-73.968488,', u'40.678691,']",40.67869,-73.968488,Moderate: 85 to 90 decibles
70,87.234329,"[u'-73.968252,', u'40.679292,']",40.67929,-73.968252,Moderate: 85 to 90 decibles
71,89.526054,"[u'-73.968013,', u'40.679994,']",40.67999,-73.968013,Moderate: 85 to 90 decibles
72,91.28035,"[u'-73.967931,', u'40.680183,']",40.68018,-73.967931,Loud: > 90 decibles
73,86.010582,"[u'-73.967931,', u'40.680183,']",40.68018,-73.967931,Moderate: 85 to 90 decibles
74,86.108597,"[u'-73.967929,', u'40.680315,']",40.68031,-73.967929,Moderate: 85 to 90 decibles
75,93.006523,"[u'-73.967749,', u'40.68072,']",40.68072,-73.967749,Loud: > 90 decibles
76,90.314034,"[u'-73.967559,', u'40.681209,']",40.68120,-73.967559,Loud: > 90 decibles
77,92.112373,"[u'-73.967562,', u'40.681957,']",40.68195,-73.967562,Loud: > 90 decibles
78,89.496338,"[u'-73.967719,', u'40.682399,']",40.68239,-73.967719,Moderate: 85 to 90 decibles
79,89.427193,"[u'-73.967782,', u'40.682654,']",40.68265,-73.967782,Moderate: 85 to 90 decibles
80,89.453049,"[u'-73.967885,', u'40.682942,']",40.68294,-73.967885,Moderate: 85 to 90 decibles
81,93.602173,"[u'-73.967959,', u'40.683532,']",40.68353,-73.967959,Loud: > 90 decibles
82,91.523247,"[u'-73.968034,', u'40.683974,']",40.68397,-73.968034,Loud: > 90 decibles
83,91.863556,"[u'-73.968126,', u'40.684405,']",40.68440,-73.968126,Loud: > 90 decibles
84,91.831703,"[u'-73.968201,', u'40.684776,']",40.68477,-73.968201,Loud: > 90 decibles
85,90.566399,"[u'-73.968276,', u'40.685159,']",40.68515,-73.968276,Loud: > 90 decibles
86,92.070663,"[u'-73.968363,', u'40.685469,']",40.68546,-73.968363,Loud: > 90 decibles
87,88.544662,"[u'-73.968392,', u'40.685854,']",40.68585,-73.968392,Moderate: 85 to 90 decibles
88,91.637749,"[u'-73.968467,', u'40.686266,']",40.68626,-73.968467,Loud: > 90 decibles
89,89.045532,"[u'-73.96859,', u'40.686677,']",40.68667,"-73.96859,",Moderate: 85 to 90 decibles
90,90.080711,"[u'-73.968684,', u'40.687184,']",40.68718,-73.968684,Loud: > 90 decibles
91,90.202469,"[u'-73.968749,', u'40.687508,']",40.68750,-73.968749,Loud: > 90 decibles
92,90.088615,"[u'-73.96883,', u'40.687887,']",40.68788,"-73.96883,",Loud: > 90 decibles
93,89.306671,"[u'-73.968862,', u'40.68823,']",40.68823,-73.968862,Moderate: 85 to 90 decibles
94,90.003105,"[u'-73.968948,', u'40.688703,']",40.68870,-73.968948,Loud: > 90 decibles
95,89.733658,"[u'-73.969033,', u'40.689045,']",40.68904,-73.969033,Moderate: 85 to 90 decibles
96,92.22525,"[u'-73.969143,', u'40.689783,']",40.68978,-73.969143,Loud: > 90 decibles
97,91.220932,"[u'-73.969291,', u'40.690303,']",40.69030,-73.969291,Loud: > 90 decibles
98,92.201782,"[u'-73.969484,', u'40.690977,']",40.69097,-73.969484,Loud: > 90 decibles
